index,Year,Firstname,Lastname,Category,Gender,Birth_Date,Birth_Country_Code,present_birth_country,full_name,day_month
0,1901,Wilhelm Conrad,Röntgen,physics,male,1845-03-27,DE,Germany,Wilhelm Conrad Röntgen,27-03
1,1901,Emil,von Behring,medicine,male,1854-03-15,PL,Poland,Emil von Behring,15-03
2,1901,Henry,Dunant,peace,male,1828-05-08,CH,Switzerland,Henry Dunant,08-05
3,1901,Frédéric,Passy,peace,male,1822-05-20,FR,France,Frédéric Passy,20-05
4,1901,Sully,Prudhomme,literature,male,1839-03-16,FR,France,Sully Prudhomme,16-03
5,1901,Jacobus H.,van 't Hoff,chemistry,male,1852-08-30,NL,the Netherlands,Jacobus H. van 't Hoff,30-08
6,1902,Emil,Fischer,chemistry,male,1852-10-09,DE,Germany,Emil Fischer,09-10
7,1902,Theodor,Mommsen,literature,male,1817-11-30,DE,Germany,Theodor Mommsen,30-11
8,1902,Albert,Gobat,peace,male,1843-05-21,CH,Switzerland,Albert Gobat,21-05
9,1902,Élie,Ducommun,peace,male,1833-02-19,CH,Switzerland,Élie Ducommun,19-02
10,1902,Pieter,Zeeman,physics,male,1865-05-25,NL,the Netherlands,Pieter Zeeman,25-05
11,1902,Ronald,Ross,medicine,male,1857-05-13,IN,India,Ronald Ross,13-05
12,1902,Hendrik A.,Lorentz,physics,male,1853-07-18,NL,the Netherlands,Hendrik A. Lorentz,18-07
13,1903,Pierre,Curie,physics,male,1859-05-15,FR,France,Pierre Curie,15-05
14,1903,Randal,Cremer,peace,male,1828-03-18,GB,United Kingdom,Randal Cremer,18-03
15,1903,Henri,Becquerel,physics,male,1852-12-15,FR,France,Henri Becquerel,15-12
16,1903,Marie,Curie,physics,female,1867-11-07,PL,Poland,Marie Curie,07-11
17,1903,Niels Ryberg,Finsen,medicine,male,1860-12-15,DK,Denmark,Niels Ryberg Finsen,15-12
18,1903,Bjørnstjerne,Bjørnson,literature,male,1832-12-08,NO,Norway,Bjørnstjerne Bjørnson,08-12
19,1903,Svante,Arrhenius,chemistry,male,1859-02-19,SE,Sweden,Svante Arrhenius,19-02
20,1904,José,Echegaray,literature,male,1832-04-19,ES,Spain,José Echegaray,19-04
21,1904,Lord,Rayleigh,physics,male,1842-11-12,GB,United Kingdom,Lord Rayleigh,12-11
23,1904,Sir William,Ramsay,chemistry,male,1852-10-02,GB,Scotland,Sir William Ramsay,02-10
24,1904,Ivan,Pavlov,medicine,male,1849-09-14,RU,Russia,Ivan Pavlov,14-09
25,1904,Frédéric,Mistral,literature,male,1830-09-08,FR,France,Frédéric Mistral,08-09
26,1905,Adolf,von Baeyer,chemistry,male,1835-10-31,DE,Germany,Adolf von Baeyer,31-10
27,1905,Henryk,Sienkiewicz,literature,male,1846-05-05,PL,Poland,Henryk Sienkiewicz,05-05
28,1905,Philipp,Lenard,physics,male,1862-06-07,SK,Slovakia,Philipp Lenard,07-06
29,1905,Bertha,von Suttner,peace,female,1843-06-09,CZ,Czech Republic,Bertha von Suttner,09-06
30,1905,Robert,Koch,medicine,male,1843-12-11,DE,Germany,Robert Koch,11-12
31,1906,Giosuè,Carducci,literature,male,1835-07-27,IT,Italy,Giosuè Carducci,27-07
32,1906,Theodore,Roosevelt,peace,male,1858-10-27,US,USA,Theodore Roosevelt,27-10
33,1906,J.J.,Thomson,physics,male,1856-12-18,GB,United Kingdom,J.J. Thomson,18-12
34,1906,Santiago,Ramón y Cajal,medicine,male,1852-05-01,ES,Spain,Santiago Ramón y Cajal,01-05
35,1906,Henri,Moissan,chemistry,male,1852-09-28,FR,France,Henri Moissan,28-09
36,1906,Camillo,Golgi,medicine,male,1843-07-07,IT,Italy,Camillo Golgi,07-07
37,1907,Alphonse,Laveran,medicine,male,1845-06-18,FR,France,Alphonse Laveran,18-06
38,1907,Eduard,Buchner,chemistry,male,1860-05-20,DE,Germany,Eduard Buchner,20-05
39,1907,Rudyard,Kipling,literature,male,1865-12-30,IN,India,Rudyard Kipling,30-12
40,1907,Louis,Renault,peace,male,1843-05-21,FR,France,Louis Renault,21-05
41,1907,Ernesto Teodoro,Moneta,peace,male,1833-09-20,IT,Italy,Ernesto Teodoro Moneta,20-09
42,1907,Albert A.,Michelson,physics,male,1852-12-19,PL,Poland,Albert A. Michelson,19-12
43,1908,Ernest,Rutherford,chemistry,male,1871-08-30,NZ,New Zealand,Ernest Rutherford,30-08
44,1908,Rudolf,Eucken,literature,male,1846-01-05,DE,Germany,Rudolf Eucken,05-01
45,1908,Fredrik,Bajer,peace,male,1837-04-21,DK,Denmark,Fredrik Bajer,21-04
46,1908,Ilya,Mechnikov,medicine,male,1845-05-15,UA,Ukraine,Ilya Mechnikov,15-05
47,1908,Paul,Ehrlich,medicine,male,1854-03-14,PL,Poland,Paul Ehrlich,14-03
48,1908,Klas Pontus,Arnoldson,peace,male,1844-10-27,SE,Sweden,Klas Pontus Arnoldson,27-10
49,1908,Gabriel,Lippmann,physics,male,1845-08-16,LU,Luxembourg,Gabriel Lippmann,16-08
50,1909,Guglielmo,Marconi,physics,male,1874-04-25,IT,Italy,Guglielmo Marconi,25-04
51,1909,Theodor,Kocher,medicine,male,1841-08-25,CH,Switzerland,Theodor Kocher,25-08
52,1909,Selma,Lagerlöf,literature,female,1858-11-20,SE,Sweden,Selma Lagerlöf,20-11
53,1909,Wilhelm,Ostwald,chemistry,male,1853-09-02,LV,Latvia,Wilhelm Ostwald,02-09
54,1909,Ferdinand,Braun,physics,male,1850-06-06,DE,Germany,Ferdinand Braun,06-06
55,1909,Auguste,Beernaert,peace,male,1829-07-26,BE,Belgium,Auguste Beernaert,26-07
56,1909,Paul Henri,d'Estournelles de Constant,peace,male,1852-11-22,FR,France,Paul Henri d'Estournelles de Constant,22-11
57,1910,Paul,Heyse,literature,male,1830-03-15,DE,Germany,Paul Heyse,15-03
59,1910,Johannes Diderik,van der Waals,physics,male,1837-11-23,NL,the Netherlands,Johannes Diderik van der Waals,23-11
60,1910,Albrecht,Kossel,medicine,male,1853-09-16,DE,Germany,Albrecht Kossel,16-09
61,1910,Otto,Wallach,chemistry,male,1847-03-27,RU,Russia,Otto Wallach,27-03
62,1911,Alfred,Fried,peace,male,1864-11-11,AT,Austria,Alfred Fried,11-11
63,1911,Tobias,Asser,peace,male,1838-04-28,NL,the Netherlands,Tobias Asser,28-04
64,1911,Marie,Curie,chemistry,female,1867-11-07,PL,Poland,Marie Curie,07-11
65,1911,Wilhelm,Wien,physics,male,1864-01-13,RU,Russia,Wilhelm Wien,13-01
66,1911,Maurice,Maeterlinck,literature,male,1862-08-29,BE,Belgium,Maurice Maeterlinck,29-08
67,1911,Allvar,Gullstrand,medicine,male,1862-06-05,SE,Sweden,Allvar Gullstrand,05-06
68,1912,Gerhart,Hauptmann,literature,male,1862-11-15,PL,Poland,Gerhart Hauptmann,15-11
69,1912,Alexis,Carrel,medicine,male,1873-06-28,FR,France,Alexis Carrel,28-06
70,1912,Paul,Sabatier,chemistry,male,1854-11-05,FR,France,Paul Sabatier,05-11
71,1912,Victor,Grignard,chemistry,male,1871-05-06,FR,France,Victor Grignard,06-05
